utc,location,co,co_max,co_min,no2,no2_max,no2_min,o3,o3_max,o3_min,pm10,pm10_max,pm10_min,pm25,pm25_max,pm25_min,so2,so2_max,so2_min
2017-05-31 00:00:00+00:00,Amgalan,294.600036402321,684.458333333333,294.600036402321,21.9041159306854,50.1428571428571,21.9041159306854,87.4927941910802,105.666666666667,87.4927941910802,121.323735465011,218.214285714286,121.323735465011,23.5406028686432,46.1333333333333,23.5406028686432,13.9757003151433,55.2857142857143,13.9757003151433
2017-06-30 00:00:00+00:00,Amgalan,222.677883658369,476.583333333333,222.677883658369,23.407579904029,55.5833333333333,23.407579904029,86.9071140984902,110.4375,86.9071140984902,93.2710715240387,153.458333333333,93.2710715240387,20.9976149784136,40.6904761904762,20.9976149784136,7.8346050988431,16.5416666666667,7.8346050988431
2017-07-31 00:00:00+00:00,Amgalan,233.25,233.25,233.25,17.75,17.75,17.75,64.25,64.25,64.25,35.5,35.5,35.5,18.25,18.25,18.25,2,2,2
2017-08-31 00:00:00+00:00,Amgalan,466.955318997067,1423.66666666667,466.955318997067,19.5532153612229,50.5,19.5532153612229,64.247546223442,96.3846153846154,64.247546223442,42.1926061618396,94.4444444444444,42.1926061618396,15.4391121413905,42,15.4391121413905,8.40657874354448,21.8333333333333,8.40657874354448
2017-09-30 00:00:00+00:00,Amgalan,586.129709666784,1177.325,586.129709666784,18.1000952097288,33.4594594594595,18.1000952097288,58.035172812654,80.8571428571429,58.035172812654,59.4391813416818,132.628571428571,59.4391813416818,18.8234824495456,41.375,18.8234824495456,10.9571774260125,23.4864864864865,10.9571774260125
2017-10-31 00:00:00+00:00,Amgalan,965.140899378653,1917.78571428571,965.140899378653,31.4270458920053,50.6666666666667,31.4270458920053,35.2649866485536,45.9130434782609,35.2649866485536,130.248240565816,274.636363636364,130.248240565816,48.2772029533523,91.9166666666667,48.2772029533523,18.3521232097422,50.4583333333333,18.3521232097422
2017-11-30 00:00:00+00:00,Amgalan,1803.61205108726,4153.6,1803.61205108726,47.0511958499096,78.8666666666667,47.0511958499096,30.379923586612,47.5238095238095,30.379923586612,146.729198516862,270,146.729198516862,98.3921078022889,230,98.3921078022889,41.5544915161328,77.4666666666667,41.5544915161328
2017-12-31 00:00:00+00:00,Amgalan,2464.44333455481,4694.36842105263,2464.44333455481,57.2990583358392,82.1428571428571,57.2990583358392,26.6020524566597,46.45,26.6020524566597,163.302411517806,282.761904761905,163.302411517806,138.676375614125,241.478260869565,138.676375614125,59.9906931722182,89.047619047619,59.9906931722182
2017-01-31 00:00:00+00:00,Baruun 4 zam,,,,117.868592464111,160.336842105263,117.868592464111,,,,207.992065059815,455.631578947369,207.992065059815,174.549688044439,383.947368421053,174.549688044439,50.1297495439148,102.223404255319,50.1297495439148
2017-02-28 00:00:00+00:00,Baruun 4 zam,,,,111.566213953315,145.4,111.566213953315,,,,161.315782101461,293.833333333333,161.315782101461,104.822237343128,224.791666666667,104.822237343128,42.4383725407657,79.5625,42.4383725407657
